,SARC,SKCM,UVM,BRCA,CHOL,LIHC,KICH,KIRC,KIRP,BLCA,CESC,UCEC,UCS,COAD,READ,LAML,ACC,PCPG,LUAD,MESO,THCA,ESCA,STAD,PAAD,PRAD,GBM,LGG,TGCT,THYM,HNSC,DLBC,LUSC
CESC,0.8349590301513672,1.2045332193374634,1.236409068107605,0.8673136234283447,0.5828550457954407,0.948294460773468,1.1115816831588743,1.2670049667358398,1.1211774349212646,0.6095091700553894,0.0,0.7231236696243286,0.6737622618675232,0.8556053042411804,0.6468657851219177,0.9890755414962769,1.1788047552108765,1.1887269020080566,1.0484150648117063,0.7627688050270081,0.8373628258705139,0.7592822313308716,0.981759786605835,0.8380076289176941,0.7638309001922607,1.336607575416565,1.5189871788024902,1.220672607421875,0.9653490781784058,0.8073116540908813,0.9111162424087524,1.009881854057312
UCEC,0.7560540437698364,0.8240435719490051,0.8399853110313416,0.92045658826828,0.9124268889427184,0.8061156868934631,0.9914259910583496,0.7573593258857727,0.9857257604599,0.7884950637817383,0.7231236696243286,0.0,0.6336519122123718,0.9077200889587402,0.8310871720314026,1.0802595615386963,0.9388114809989928,0.9125357866287231,1.4230773448944092,1.3895840644836426,0.9384342432022096,1.328222393989563,1.1417838335037231,1.3053474426269531,0.9253311157226562,1.0193182229995728,1.220948576927185,0.7433582544326782,1.1720880270004272,0.8218744993209839,0.7395344972610474,1.2540676593780518
UCS,0.7219997644424438,0.790386438369751,1.2844609022140503,0.8539507389068604,0.9821052551269532,1.2108727693557741,0.6678534746170044,1.2177051305770874,0.7627284526824951,0.6811628937721252,0.6737622618675232,0.6336519122123718,0.0,0.9899922013282776,1.0142345428466797,1.176400899887085,0.8393639326095581,1.0920543670654297,0.952891767024994,0.8671138882637024,0.9229698777198792,0.8165239095687866,0.9649332761764526,1.2445825338363647,0.8741394877433777,1.0743950605392456,1.043049931526184,1.252871870994568,1.5850911140441897,1.0098814964294434,1.2574044466018677,1.065614104270935
COAD,1.1936211585998535,1.1378140449523926,0.8754662275314331,0.8654667139053345,1.098608136177063,0.9523888230323792,1.256799817085266,0.8540419340133667,0.7411959171295166,0.9712485074996948,0.8556053042411804,0.9077200889587402,0.9899922013282776,0.0,0.2990969717502594,0.7421237826347351,0.9735704064369202,0.8445644974708557,0.9594519734382628,1.2838929891586304,1.541913390159607,0.8611289858818054,0.8326576352119446,1.071537733078003,0.9873084425926208,1.2411441802978516,1.341860055923462,1.2655274868011477,1.4054758548736572,0.9775528311729432,1.2755377292633057,1.4007498025894165
READ,0.9101769924163818,1.341268539428711,0.9872363209724426,1.1380436420440674,0.862084686756134,0.9033786058425904,0.9397350549697876,0.6960837841033936,0.8233799934387207,0.7308146357536316,0.6468657851219177,0.8310871720314026,1.0142345428466797,0.2990969717502594,0.0,0.712990939617157,0.8135626912117004,0.8864665627479553,1.1675386428833008,1.200312852859497,1.345700740814209,0.9459633231163024,0.7096934318542479,0.6737508177757263,0.7670820951461792,1.0045711994171145,1.3875701427459717,1.2845536470413208,1.3078734874725342,1.0216492414474487,0.9320369958877563,1.3373512029647827
LAML,0.8522789478302002,0.6495643258094788,0.7106233239173889,1.1182149648666382,1.2530992031097412,1.137251377105713,1.2751294374465942,0.9309701323509216,1.0152684450149536,0.8443443775177002,0.9890755414962769,1.0802595615386963,1.176400899887085,0.7421237826347351,0.712990939617157,0.0,0.6583234667778015,0.6479811072349548,0.9390121698379515,0.8178443312644958,0.9977525472640992,1.242490291595459,1.181080341339111,0.877834141254425,1.4053666591644287,0.7027021050453186,0.8867450952529907,1.235336184501648,0.770206093788147,0.9472002983093262,0.8876056075096129,1.0962659120559692
ACC,0.7620753049850464,0.7947298288345337,1.0148653984069824,0.8734334111213684,0.9933695793151855,0.8795847296714783,0.6507126092910767,1.035076379776001,1.063296675682068,0.783965528011322,1.1788047552108765,0.9388114809989928,0.8393639326095581,0.9735704064369202,0.8135626912117004,0.6583234667778015,0.0,0.5689106583595276,0.8447362780570984,0.8864240646362305,1.110725164413452,1.405044674873352,1.0241687297821045,0.733189582824707,1.048248529434204,0.8017476201057434,0.8243721127510071,1.125441074371338,1.1168392896652222,1.5977213382720947,1.0617797374725342,1.196318745613098
PCPG,0.8805369138717651,0.8980165123939514,0.6915441751480103,0.8913694620132446,1.3170263767242432,0.9225741624832152,1.0039873123168943,0.7701745629310608,0.8271923661231995,0.8585808873176575,1.1887269020080566,0.9125357866287231,1.0920543670654297,0.8445644974708557,0.8864665627479553,0.6479811072349548,0.5689106583595276,0.0,0.961250901222229,0.8130996823310852,0.8764111399650574,1.3396060466766355,1.4169963598251345,0.9394547343254088,0.9954410195350648,0.9593107104301452,1.1186119318008425,0.7458949685096741,0.8436213135719299,1.1608952283859253,1.2992355823516846,1.2593863010406494
LUAD,1.4147912263870241,0.86313396692276,1.3806051015853882,0.9207817912101746,0.907288670539856,0.8442341089248657,0.8598204851150513,1.1894021034240725,0.8038814663887024,0.7690007090568542,1.0484150648117063,1.4230773448944092,0.952891767024994,0.9594519734382628,1.1675386428833008,0.9390121698379515,0.8447362780570984,0.961250901222229,0.0,0.6911075711250305,0.7842762470245361,0.8268947005271912,0.9739522337913512,0.9530231356620787,1.0039712190628052,1.2224825620651243,0.9915661811828612,1.1953444480895996,1.0204936265945437,1.2584201097488403,1.2304924726486206,0.6088452339172363
MESO,0.6329988241195679,0.8035686612129211,0.9715632796287536,0.8112090229988098,0.7415897846221924,0.9727764725685121,0.8349209427833557,1.3079077005386353,0.9455069303512572,0.9418681263923644,0.7627688050270081,1.3895840644836426,0.8671138882637024,1.2838929891586304,1.200312852859497,0.8178443312644958,0.8864240646362305,0.8130996823310852,0.6911075711250305,0.0,0.6272563338279724,0.679139256477356,1.0582962036132812,0.6493147611618042,1.1410115957260132,1.1398873329162598,0.9610803723335266,1.1575027704238892,0.6574091911315918,1.0902316570281982,1.1740515232086182,0.8163227438926697
