,Bcell_pred,CD4T_pred,CD8T_pred,Mono_pred,NK_pred,Neu_pred,Bcell_true,CD4T_true,CD8T_true,Mono_true,NK_true,Neu_true
GSM2334000_7766148030_R05C02,0.050525524,0.13048883,0.10825658,0.10137079,0.053312387,0.6147497,0.040854957,0.13793181,0.11518604,0.09465389,0.03435775,0.6173971
GSM2334003_7766148112_R04C01,0.048883524,0.10825054,0.097767785,0.09871955,0.11615716,0.57058674,0.048669238,0.10806392,0.10204567,0.11362221,0.114035204,0.55865335
GSM2334006_7766148120_R03C01,0.024488684,0.0542802,0.076689936,0.09820638,0.09608629,0.68530977,0.022431316,0.05277106,0.0947273,0.09307819,0.09345452,0.6922738
GSM2334007_9370847081_R06C01,0.0735729,0.13712944,0.14287119,0.09731523,0.10518543,0.49485368,0.07876943,0.16059665,0.11815794,0.10186343,0.11054616,0.49526626
GSM2334022_7766148057_R04C01,0.053511247,0.09979997,0.10239267,0.1026079,0.03316674,0.65827894,0.049212918,0.11635778,0.10755054,0.08562807,0.031603117,0.65652114
GSM2334029_9379082138_R02C02,0.059855714,0.13634878,0.13669568,0.09913448,0.06895285,0.5525105,0.063003875,0.155561,0.1019271,0.087370425,0.08428005,0.55807024
GSM2334031_7766148077_R05C02,0.04223551,0.083111435,0.16834158,0.087192625,0.13713956,0.5256314,0.0247609,0.09214834,0.17536852,0.08592527,0.13326642,0.5331084
GSM2334035_9379082138_R03C02,0.09140718,0.17387024,0.13362218,0.10204594,0.04580715,0.51799804,0.08696697,0.18667011,0.11097847,0.101183385,0.051229868,0.52469385
GSM2334039_9379082138_R05C02,0.08508525,0.18024904,0.17741832,0.0907782,0.055096503,0.46266553,0.07295957,0.19606432,0.15339653,0.09066125,0.06993968,0.46505842
GSM2334057_7766148130_R04C01,0.111684576,0.21384287,0.16418812,0.09739624,0.033854365,0.46920317,0.0982853,0.20268877,0.17960975,0.13216898,0.03757136,0.44862562
GSM2334060_7766148130_R01C01,0.0565906,0.09851975,0.09457827,0.105399914,0.08122028,0.6180989,0.07934825,0.098611556,0.106761776,0.08382345,0.07331011,0.62693065
GSM2334061_7766148130_R06C01,0.048354067,0.09430192,0.10019671,0.1120156,0.038954258,0.6609572,0.05428421,0.11228403,0.08201036,0.10307,0.052073292,0.6610806
GSM2334062_7766148130_R01C02,0.081325136,0.12770164,0.07177606,0.12959369,0.04698612,0.600608,0.10544581,0.117448084,0.07369321,0.14401339,0.05596349,0.5790043
GSM2334067_7766148120_R02C02,0.032435335,0.0648355,0.09632669,0.09546093,0.019313715,0.7160315,0.044361684,0.070527054,0.08587165,0.06706358,0.034111638,0.74380946
GSM2334071_7766148030_R01C01,0.08947781,0.18727529,0.12711915,0.09450235,0.034033094,0.54851574,0.081165425,0.17919232,0.15324214,0.0847003,0.017111745,0.55976844
GSM2334088_7766148005_R01C01,0.025435504,0.07181425,0.10353333,0.07966194,0.1304727,0.6217767,0.02622966,0.041386373,0.13197555,0.08626061,0.1416738,0.6233464
GSM2334090_9370847015_R05C01,0.05624081,0.10458085,0.11880695,0.10638684,0.17812885,0.4970141,0.04117595,0.11517984,0.07931118,0.13696441,0.21819188,0.48074478
GSM2334092_7766148005_R02C01,0.04999365,0.11543302,0.094055854,0.10559858,0.026643656,0.67277175,0.04653114,0.13801561,0.07549458,0.09266309,0.024616802,0.6743255
GSM2334101_9370847015_R02C02,0.05612887,0.14928186,0.113203794,0.088244714,0.124113835,0.5124185,0.052397896,0.17462867,0.10051395,0.08072516,0.12704958,0.5186028
GSM2334102_9370847063_R02C01,0.06600115,0.1361975,0.22123678,0.080351025,0.09351325,0.44968557,0.053864032,0.14295092,0.23924038,0.08182925,0.079823725,0.46002436
GSM2334106_9370847063_R03C01,0.04241465,0.07060771,0.11051143,0.10094508,0.05954521,0.6490396,0.051828537,0.07940208,0.13343266,0.092000745,0.030842092,0.65727544
GSM2334107_9370847015_R05C02,0.052634478,0.08252758,0.093045644,0.098095484,0.05000811,0.6649553,0.06643723,0.0812338,0.091185175,0.090307966,0.05689251,0.6663838
GSM2334115_9370847092_R06C02,0.05647341,0.09246146,0.12787803,0.121497564,0.084622055,0.5596235,0.054846503,0.10922968,0.12207075,0.11075427,0.069850564,0.5724677
GSM2334117_7766148120_R01C01,0.06734274,0.14888954,0.17579804,0.08983623,0.057900216,0.5242197,0.066332474,0.15976937,0.15988772,0.08385279,0.067355715,0.5287081
GSM2334118_7766148130_R04C02,0.0483984,0.07474582,0.093700826,0.095982045,0.10541618,0.63906205,0.072180346,0.06866154,0.10113283,0.10102052,0.11445627,0.62608284
GSM2334131_9370847063_R04C01,0.07332973,0.15210024,0.1372952,0.10096968,0.032964006,0.5663139,0.0733292,0.16673332,0.122324504,0.08693483,0.038393725,0.57215524
GSM2334141_9376561015_R04C02,0.05465215,0.12538683,0.17090185,0.079698615,0.07296049,0.52578354,0.055086903,0.13449587,0.18082885,0.07212191,0.044097304,0.53861564
GSM2334142_9370847063_R02C02,0.039310046,0.11766297,0.12385652,0.08948982,0.107008785,0.56105053,0.04625117,0.12315023,0.11966677,0.09078194,0.107993595,0.5541129
GSM2334143_7766148003_R03C01,0.107467175,0.14554207,0.109726444,0.10487399,0.079539366,0.5184129,0.12863582,0.12937841,0.09921769,0.10737125,0.09815246,0.51662886
GSM2334144_7766148003_R01C02,0.048755728,0.05318012,0.16610813,0.09550997,0.16416892,0.53548735,0.04469052,0.034813378,0.19650091,0.085163504,0.14858486,0.5490921
GSM2334152_7766148003_R04C02,0.09107445,0.15862721,0.15151457,0.09201369,0.04434232,0.5322683,0.08665101,0.17178783,0.14705814,0.13367712,0.051195078,0.49927738
GSM2334153_7766148003_R06C01,0.10717724,0.17568615,0.16772921,0.098454624,0.053120144,0.47304904,0.11862555,0.16981836,0.18220945,0.08773038,0.041325625,0.48861036
GSM2334170_9370847096_R05C01,0.054261178,0.11570646,0.1513909,0.08887833,0.15190208,0.48358518,0.036411483,0.12513614,0.1733531,0.13525684,0.13488914,0.4521646
GSM2334171_9370847096_R02C01,0.035294726,0.07983801,0.037297085,0.10955229,0.030573368,0.7431405,0.045299813,0.099476345,0.021131314,0.08901402,0.03461196,0.7547418
GSM2334174_9370847096_R01C02,0.058604725,0.07801877,0.13963372,0.11254366,0.105813414,0.55728734,0.07894397,0.07756029,0.13283116,0.115206994,0.10186745,0.5514575
GSM2334177_9370847096_R04C01,0.0785587,0.14745069,0.20184694,0.084116645,0.18536435,0.3569747,0.07751784,0.13765197,0.22331727,0.07316343,0.18049362,0.36143985
GSM2334189_9376561035_R04C02,0.034137007,0.07773121,0.16372114,0.08358172,0.14528488,0.531208,0.015954632,0.027449934,0.22991045,0.105493195,0.14070658,0.5197792
GSM2334196_7512560137_R03C01,0.11069146,0.23142058,0.16096215,0.08948727,0.04379741,0.43469325,0.11345021,0.23429763,0.16466649,0.09466072,0.04367942,0.4217429
GSM2334209_9379082151_R01C01,0.05731865,0.12417774,0.18653797,0.089975275,0.09977566,0.46647924,0.056537487,0.11069789,0.16515742,0.13423598,0.12671211,0.43185478
GSM2334215_9370847131_R01C02,0.059987202,0.13950014,0.12514885,0.105852306,0.028669622,0.60671103,0.0561974,0.15574954,0.11254232,0.09197136,0.039216347,0.59600234
GSM2334218_9376538150_R06C02,0.05012063,0.10554838,0.14280821,0.101935126,0.1172691,0.51406354,0.024187433,0.108551346,0.13534379,0.13457927,0.13467109,0.5024368
GSM2334235_7766148055_R04C01,0.08521588,0.14968088,0.16707963,0.095583536,0.13491748,0.4280331,0.08551918,0.1680023,0.16391934,0.10084904,0.12514967,0.4262109
GSM2334242_7512560102_R05C01,0.082353204,0.18590537,0.08775491,0.105121106,0.104346044,0.4758926,0.10459943,0.21177924,0.04222734,0.09885886,0.1236295,0.481752
GSM2334244_9379082134_R05C02,0.057006456,0.11812121,0.124301255,0.10108823,0.09860192,0.5460216,0.056407288,0.11659362,0.11301223,0.11599426,0.11000593,0.52929395
GSM2334248_9376537113_R03C02,0.032653943,0.056035094,0.09672522,0.103506126,0.11943811,0.62963176,0.03226691,0.05514164,0.10340962,0.1253495,0.11594525,0.61955583
GSM2334250_7512551050_R02C01,0.0647156,0.067927554,0.13141866,0.1112444,0.13255896,0.55904704,0.0794885,0.09215965,0.11593325,0.09673676,0.11883417,0.5692341
GSM2334272_9379082102_R01C02,0.06173076,0.14021635,0.13214108,0.10197384,0.02255727,0.5892063,0.05007658,0.1506899,0.1378696,0.09863097,0.01608112,0.56730646
GSM2334278_7766148001_R03C01,0.03299306,0.07826782,0.037108622,0.100562625,0.09525701,0.6930372,0.02247485,0.0868479,0.037859563,0.10713064,0.12031672,0.6760426
GSM2334284_7766148001_R05C01,0.060295466,0.060993895,0.20235445,0.08311416,0.17315465,0.47984987,0.05363923,0.07854217,0.20308892,0.09001228,0.16745076,0.47661826
GSM2334285_7766148001_R04C02,0.06792056,0.10576534,0.09284833,0.104662396,0.047684163,0.64367056,0.07072366,0.122266404,0.10461494,0.092678554,0.038689498,0.64053
GSM2334291_7512560137_R06C02,0.060152225,0.1290893,0.1262713,0.11204899,0.09331289,0.55132353,0.04952899,0.11530179,0.1329849,0.113565855,0.12510145,0.5328121
GSM2334293_7512551050_R01C01,0.048746765,0.09534763,0.1070146,0.1063153,0.07105446,0.62773246,0.05155367,0.0937054,0.09882639,0.11559573,0.08420262,0.6171754
GSM2334295_9376561035_R01C02,0.056447946,0.117277704,0.16266094,0.103257336,0.08691727,0.51626056,0.058197178,0.1124189,0.17631762,0.11185818,0.075936966,0.5117717
GSM2334297_9379082108_R02C01,0.07697533,0.17232761,0.16367859,0.08404568,0.087930046,0.4608964,0.07194116,0.20578289,0.12524465,0.084201515,0.11162874,0.45103458
GSM2334298_7766148002_R06C01,0.046009548,0.09840828,0.092576504,0.10914987,0.05556152,0.6482256,0.041050974,0.12568454,0.08343702,0.11371636,0.048780575,0.63178563
GSM2334303_9379082102_R01C01,0.035430115,0.06819518,0.09144463,0.09117242,0.0685981,0.6681637,0.04257951,0.07083539,0.09825022,0.10801643,0.062699884,0.6552086
GSM2334307_9379082102_R02C01,0.057764217,0.14762238,0.13414168,0.09875208,0.08585143,0.5287567,0.053095624,0.13336083,0.1565322,0.107325226,0.08739692,0.52816224
GSM2334312_7766148002_R01C01,0.059235197,0.14864427,0.10327865,0.097812325,0.058212984,0.5879111,0.046959385,0.14580648,0.119571015,0.10121133,0.051119715,0.5663208
