,Hannum.Est,EpiTOC.Est,Horvath.Est
GSM2334102_9370847063_R02C01,33.21996580935581,0.0897704135621971,29.473927834911258
GSM2334106_9370847063_R03C01,36.697720869609064,0.06603446887089319,37.382494185984925
GSM2334107_9370847015_R05C02,19.89944449373389,0.05700369904220263,21.21172455721104
GSM2334115_9370847092_R06C02,57.70368439852227,0.08661117391514063,55.25853268504451
GSM2334117_7766148120_R01C01,30.41858350734499,0.07372241623949174,27.743221283682658
GSM2334118_7766148130_R04C02,43.53853359940974,0.0807858202803329,41.86879242880897
GSM2334131_9370847063_R04C01,25.599558913627305,0.06182611328985284,31.155268932192776
GSM2334141_9376561015_R04C02,52.02152116683995,0.09829747974488359,54.5886071519091
GSM2334142_9370847063_R02C02,70.56147592735518,0.09692269622813449,75.06189516777022
GSM2334143_7766148003_R03C01,29.464948767645026,0.0790199024439344,22.25056671633674
GSM2334144_7766148003_R01C02,57.41864135904016,0.11654898549736041,58.44441251876976
GSM2334152_7766148003_R04C02,17.430131791376226,0.07112680333601856,13.832095509659798
GSM2334153_7766148003_R06C01,19.850393976528416,0.06583149900292307,16.83109898473534
GSM2334170_9370847096_R05C01,69.36385725528466,0.12073097460945913,74.21089219244058
GSM2334171_9370847096_R02C01,55.88298343829927,0.055259057306338295,55.55611223995118
GSM2334174_9370847096_R01C02,55.63383995771572,0.110395539724882,51.134481789944545
GSM2334177_9370847096_R04C01,55.64178670398174,0.12753101968828068,61.881002690955654
GSM2334189_9376561035_R04C02,73.18883743388433,0.10197388446368623,72.85489089387279
GSM2334196_7512560137_R03C01,40.64496865947854,0.08047748373339249,41.92488598065013
GSM2334209_9379082151_R01C01,21.33786929952453,0.0698932480962806,23.169436148568785
GSM2334215_9370847131_R01C02,43.920566826890216,0.06271118463594459,43.48337641308512
GSM2334218_9376538150_R06C02,50.42160072244556,0.08019159368509515,46.50350347044345
GSM2334235_7766148055_R04C01,50.705704852661405,0.09443738726564609,42.11511985588201
GSM2334242_7512560102_R05C01,57.9215488900532,0.07586204220239001,54.00427189896399
GSM2334244_9379082134_R05C02,58.110794433861756,0.08429731941600742,53.31948543007764
GSM2334248_9376537113_R03C02,81.0754067250925,0.11299892569854911,76.90418651176637
GSM2334250_7512551050_R02C01,54.3038903610333,0.09808423259004204,48.83336420509643
GSM2334272_9379082102_R01C02,55.676337396863566,0.0752418141168857,58.61980077672551
GSM2334278_7766148001_R03C01,84.40921166955602,0.07788452083536625,76.67700684768016
GSM2334284_7766148001_R05C01,76.83051042567668,0.1614042581459104,70.86341964449068
GSM2334285_7766148001_R04C02,41.251447250071124,0.06847477498887293,37.55197470153932
GSM2334291_7512560137_R06C02,26.463209652185984,0.06823125467930283,20.171849669452698
GSM2334293_7512551050_R01C01,21.141438110418957,0.05789485954966097,14.710665168436254
GSM2334295_9376561035_R01C02,60.06949691664072,0.08288968801921962,58.24248962277443
GSM2334297_9379082108_R02C01,64.89982639890232,0.11405694275466474,65.62128507816425
GSM2334298_7766148002_R06C01,44.953758710263386,0.06231824022067621,35.73627872238686
GSM2334303_9379082102_R01C01,69.67515242719178,0.11968382740188355,70.7387646831911
GSM2334307_9379082102_R02C01,78.54385199026974,0.09376369033482458,79.43691726060038
GSM2334312_7766148002_R01C01,47.12950805564522,0.06874777700161257,45.68288751784607
GSM2334319_7766148002_R04C01,76.12383398234097,0.08842360445042477,68.69677498581454
GSM2334324_7512560137_R06C01,42.37334225723587,0.08232208870909948,36.0438390489118
GSM2334333_7512560137_R04C02,75.229486869296,0.09089434249184956,71.43310601470785
GSM2334341_9376561035_R06C02,54.304374312455984,0.09921739443697156,53.155963271100575
GSM2334360_9370847124_R04C02,49.24462299550164,0.08895908798969909,53.242732175883305
GSM2334361_9370847131_R02C01,55.54209753455015,0.06727190031131028,61.32941518901841
GSM2334364_9370847124_R05C02,26.097873434231172,0.05395669410136476,24.24636402114964
GSM2334365_9376538150_R01C01,53.10256791871093,0.06969368139548988,51.43016490015342
GSM2334366_7512560092_R05C02,85.26109673676864,0.13803190244819116,77.2522029034171
GSM2334367_7512560134_R01C01,59.47352715749186,0.061913836467277085,56.16530484048174
GSM2334372_7512560092_R03C01,30.037905830759524,0.07519867450114438,31.180421324795233
GSM2334377_9370847124_R04C01,77.42042580774132,0.13135894966200376,77.43315493746078
GSM2334380_9370847124_R01C01,84.35478911556056,0.08936399151527011,74.10444086970544
