,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
LIHC,0.8756589889526367,1.285607933998108,1.205661416053772,1.3934435844421387,0.4766714870929718,1.006430745124817,1.3255555629730225,1.2135154008865356,1.0478429794311523,1.4511659145355225,1.0884145498275757,0.9435757398605347,0.9076070189476013,1.176620602607727,1.276592493057251,0.0,0.9345430135726929,1.0859965085983276,1.3344677686691284,0.8548017144203186,1.0441116094589233,1.2672690153121948,1.0910319089889526,1.0794804096221924,0.944641649723053,0.973808228969574,0.9921236038208008,1.002800703048706,1.5283526182174683,1.291164517402649,1.0848748683929443,1.1774353981018066
LUAD,1.0959988832473755,1.0159927606582642,0.7524541020393372,1.073390245437622,0.9631937146186829,0.9463944435119629,0.653948962688446,0.9968818426132202,1.015688419342041,0.6959407329559326,1.3747446537017822,1.0804387331008911,1.2215853929519653,0.8355123996734619,1.4695916175842285,0.9345430135726929,0.0,0.7581847310066223,0.8211824297904968,0.742901086807251,1.0837525129318237,0.9455488920211792,0.9200034737586975,1.3320636749267578,1.123007893562317,0.8567692637443542,1.5349771976470947,0.8627778887748718,1.0686603784561157,1.2724696397781372,1.2110798358917236,1.474501371383667
LUSC,0.9846817851066589,0.8400832414627075,0.8821033239364624,1.100603461265564,1.361046314239502,1.4159973859786987,0.7854360342025757,0.5675099492073059,1.0108699798583984,0.5480217337608337,0.8409771919250488,1.50633704662323,1.2256543636322021,0.6441270709037781,1.133497953414917,1.0859965085983276,0.7581847310066223,0.0,1.089001178741455,1.0744763612747192,1.3767169713974,1.0947086811065674,1.5924550294876099,0.8514146208763123,1.0622985363006592,0.6843274831771851,0.8107477426528931,0.8471617102622986,0.6567065119743347,1.3372336626052856,0.7776361107826233,1.1544935703277588
MESO,0.5431106686592102,0.597771167755127,0.7185769081115723,0.5841287970542908,1.3342468738555908,1.160722017288208,0.7014020681381226,0.8429567217826843,0.8867031931877136,0.6274843215942383,0.8389888405799866,0.5590939521789551,1.090539813041687,0.7565729022026062,0.9344533681869507,1.3344677686691284,0.8211824297904968,1.089001178741455,0.0,1.2220348119735718,0.5468591451644897,0.6841861009597778,0.7683078646659851,0.6131868362426758,1.002642273902893,1.2686922550201416,1.1621495485305786,1.1500996351242065,0.8714880347251892,0.9047948718070984,1.1799005270004272,0.9387774467468262
PAAD,1.1675100326538086,0.8808595538139343,1.038707971572876,1.174457311630249,0.8137969970703125,0.5625389814376831,0.6810542345046997,1.0952060222625732,1.0943610668182373,1.243985652923584,1.4455021619796753,1.3142139911651611,1.2139712572097778,1.2001237869262695,1.071998953819275,0.8548017144203186,0.742901086807251,1.0744763612747192,1.2220348119735718,0.0,0.8115529417991638,0.8536590337753296,0.7189403176307678,1.3577476739883423,0.8905171155929565,0.6511886715888977,0.8213539123535156,0.7133223414421082,0.8841741681098938,0.9105420112609863,1.1985013484954834,0.9845419526100159
PCPG,0.4852975010871887,0.8086521029472351,1.1627960205078125,1.1843830347061157,0.8938091993331909,0.8557888269424438,0.8250478506088257,1.2264701128005981,0.9147732257843018,1.2185320854187012,0.7349063754081726,0.6419664025306702,0.9469013810157776,1.2211464643478394,0.6768567562103271,1.0441116094589233,1.0837525129318237,1.3767169713974,0.5468591451644897,0.8115529417991638,0.0,0.6184309124946594,0.6145380735397339,0.9555165767669678,0.9558630585670471,1.4763612747192383,0.7252359986305237,0.6776004433631897,0.801452100276947,0.8447516560554504,1.6098785400390625,0.6064470410346985
PRAD,0.8841593861579895,0.6920257210731506,0.7019408941268921,0.6818435192108154,1.2172515392303467,0.9902462959289551,1.0722064971923828,0.7457413077354431,1.499114751815796,0.931332528591156,0.8957382440567017,1.0076876878738403,1.3406561613082886,1.367219090461731,1.075669765472412,1.2672690153121948,0.9455488920211792,1.0947086811065674,0.6841861009597778,0.8536590337753296,0.6184309124946594,0.0,0.7738078236579895,1.049918532371521,1.2551532983779907,1.1234890222549438,0.8690229654312134,1.010767936706543,0.781505286693573,0.7910298109054565,1.2203398942947388,0.530130922794342
READ,0.9599363803863525,1.0130579471588135,0.9817357063293457,0.6806638240814209,1.0432878732681274,0.23308593034744263,0.828885555267334,1.0539889335632324,0.9150545001029968,0.9604896306991577,1.2706178426742554,0.5580358505249023,0.9121513962745667,1.0096018314361572,0.8300774693489075,1.0910319089889526,0.9200034737586975,1.5924550294876099,0.7683078646659851,0.7189403176307678,0.6145380735397339,0.7738078236579895,0.0,1.3158196210861206,0.8857923150062561,0.938048779964447,1.306852102279663,0.8503294587135315,1.2748814821243286,0.7947543859481812,1.3740097284317017,0.8792444467544556
SARC,0.7352486848831177,0.8426792025566101,0.6912012696266174,0.7454173564910889,1.1649624109268188,1.3549950122833252,0.9320233464241028,0.7966617345809937,0.9169541597366333,0.8876191973686218,0.6542781591415405,0.9260373115539551,0.9017956852912903,0.8000510334968567,0.7496230006217957,1.0794804096221924,1.3320636749267578,0.8514146208763123,0.6131868362426758,1.3577476739883423,0.9555165767669678,1.049918532371521,1.3158196210861206,0.0,0.616657555103302,1.0181185007095337,0.6332655549049377,1.2276356220245361,0.7972732186317444,0.870505154132843,0.6153960227966309,0.6681821942329407
SKCM,1.0943912267684937,1.3430436849594116,0.5793291926383972,0.9915684461593628,0.8839944005012512,0.6189064979553223,0.6083148717880249,1.0296909809112549,0.8558076024055481,1.0157471895217896,1.0653060674667358,1.088415265083313,0.7463043928146362,0.8288738131523132,0.6776494383811951,0.944641649723053,1.123007893562317,1.0622985363006592,1.002642273902893,0.8905171155929565,0.9558630585670471,1.2551532983779907,0.8857923150062561,0.616657555103302,0.0,0.6865794062614441,0.7924968004226685,0.7690222263336182,0.8969640135765076,0.8861042857170105,0.7920570373535156,0.5922662615776062
